n,sign_ms,verify_ms
1,0.619337,0.361668
2,0.681606,0.361668
4,0.738076,0.361668
8,0.916544,0.361668
16,1.29418,0.361668
32,1.99861,0.361668
64,3.53834,0.361668
128,7.00788,0.361668
256,12.8906,0.361668
512,27.6905,0.361668
1024,57.5526,0.361668
2048,122.148,0.361668
